Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,1511.810059,1529.630005,1504.599976,1520.739990,1520.739990,4639500
2020-02-17,1515.000000,1532.105957,1480.439941,1485.109985,1485.109985,4898300
2020-02-24,1426.109985,1438.140015,1271.000000,1339.329956,1339.329956,14315200
2020-03-02,1351.609985,1410.150024,1261.050049,1298.410034,1298.410034,11969000
2020-03-09,1205.300049,1281.150024,1113.300049,1219.729980,1219.729980,16512100
2020-03-16,1096.000000,1157.969971,1037.280029,1072.319946,1072.319946,19600200
2020-03-23,1061.319946,1169.969971,1013.536011,1110.709961,1110.709961,18250300
2020-03-30,1125.040039,1175.310059,1079.810059,1097.880005,1097.880005,11683000
2020-04-06,1138.000000,1225.569946,1130.939941,1211.449951,1211.449951,9202500
2020-04-13,1209.180054,1294.430054,1187.598022,1283.250000,1283.250000,10349000
2020-04-20,1271.000000,1293.310059,1209.709961,1279.310059,1279.310059,9146700
2020-04-27,1296.000000,1359.989990,1232.199951,1320.609985,1320.609985,13086900
2020-05-04,1308.229980,1398.760010,1299.000000,1388.369995,1388.369995,7155400
2020-05-11,1378.280029,1416.530029,1323.910034,1373.189941,1373.189941,7926100
2020-05-18,1361.750000,1415.489990,1354.250000,1410.420044,1410.420044,7452800
2020-05-25,1437.270020,1441.000000,1391.290039,1428.920044,1428.920044,7259500
2020-06-01,1418.390015,1446.552002,1404.729980,1438.390015,1438.390015,6970600
2020-06-08,1422.339966,1474.259033,1386.020020,1413.180054,1413.180054,8276300
2020-06-15,1390.800049,1460.000000,1387.920044,1431.719971,1431.719971,9502500
2020-06-22,1429.000000,1475.941040,1351.989990,1359.900024,1359.900024,10226400
2020-06-29,1358.180054,1482.949951,1347.010010,1464.699951,1464.699951,7486900
2020-07-06,1480.060059,1543.829956,1472.859985,1541.739990,1541.739990,7551500
2020-07-13,1550.000000,1577.131958,1483.500000,1515.550049,1515.550049,8018100
2020-07-20,1515.260010,1586.989990,1488.400024,1511.869995,1511.869995,6877100
2020-07-27,1515.599976,1540.969971,1454.030029,1482.959961,1482.959961,9166000
2020-08-03,1486.640015,1516.844971,1458.650024,1494.489990,1494.489990,9786400
2020-08-10,1487.180054,1537.250000,1473.079956,1507.729980,1507.729980,6990700
2020-08-17,1514.670044,1597.719971,1507.969971,1580.420044,1580.420044,8219400
2020-08-24,1593.979980,1659.219971,1580.569946,1644.410034,1644.410034,11011000
2020-08-31,1647.890015,1733.180054,1547.613037,1591.040039,1591.040039,11876300
2020-09-07,1533.510010,1584.081055,1497.359985,1520.719971,1520.719971,7601300
2020-09-14,1539.005005,1564.000000,1437.130005,1459.989990,1459.989990,9323100
2020-09-21,1440.060059,1469.520020,1406.550049,1444.959961,1444.959961,8902600
2020-09-28,1474.209961,1499.040039,1449.301025,1458.420044,1458.420044,7751300
2020-10-05,1466.209961,1516.520020,1436.000000,1515.219971,1515.219971,6728000
2020-10-12,1543.000000,1593.859985,1532.569946,1573.010010,1573.010010,8987600
2020-10-19,1580.459961,1642.359985,1525.670044,1641.000000,1641.000000,9226500
2020-10-26,1625.010010,1687.000000,1514.619995,1621.010010,1621.010010,11248500
2020-11-02,1628.160034,1793.640015,1616.030029,1761.750000,1761.750000,11494700
2020-11-09,1790.900024,1818.060059,1717.300049,1777.020020,1777.020020,8915800
2020-11-16,1771.699951,1799.069946,1737.005005,1742.189941,1742.189941,7130800
2020-11-23,1749.599976,1804.000000,1717.719971,1793.189941,1793.189941,5670300
2020-11-30,1781.183960,1847.199951,1755.000000,1827.989990,1827.989990,7390300
2020-12-07,1819.000000,1834.270020,1740.319946,1781.770020,1781.770020,6508300
2020-12-14,1775.000000,1797.390015,1720.219971,1731.010010,1731.010010,10237100
2020-12-21,1713.510010,1747.989990,1699.000000,1738.849976,1738.849976,4145700
2020-12-28,1751.635010,1792.439941,1725.599976,1751.880005,1751.880005,5010400
2021-01-04,1757.540039,1809.839966,1699.000000,1807.209961,1807.209961,9964900
2021-01-11,1786.069946,1794.314941,1721.550049,1736.189941,1736.189941,6169300
2021-01-18,1752.250000,1934.859985,1741.459961,1901.050049,1901.050049,7560900
2021-01-25,1920.670044,1929.579956,1809.000000,1835.739990,1835.739990,9374400
2021-02-01,1853.569946,2116.500000,1850.930054,2098.000000,2098.000000,11380300
2021-02-08,2105.909912,2123.547119,2063.090088,2095.379883,2095.379883,3267300
2021-02-11,2099.510010,2102.030029,2077.320068,2095.889893,2095.889893,933336
